,campaign_link,category
48,https://www.gofundme.com//f/join-us-in-supporting-sheilas-fight?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
49,https://www.gofundme.com//f/help-ranga-reddys-son-hear-and-speak-again?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
50,https://www.gofundme.com//f/support-steves-family-with-medical-bills?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
51,https://www.gofundme.com//f/support-saifan-and-her-care-team?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
52,https://www.gofundme.com//f/support-camerons-journey-against-lymphoma?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
53,https://www.gofundme.com//f/support-russ-and-family-as-he-fights-to-recover-his-health?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
54,https://www.gofundme.com//f/my-father-pastor-john-moses?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
55,https://www.gofundme.com//f/help-alleviate-levis-medical-expenses?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
56,https://www.gofundme.com//f/help-donovan-and-his-family-through-12-weeks-of-chemotherapy?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
57,https://www.gofundme.com//f/mike-pridemore-funds-for-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
58,https://www.gofundme.com//f/support-maeves-battle-against-leukemia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
59,https://www.gofundme.com//f/support-emily-johnson-and-fam-as-she-fights-kidney-failure?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
60,https://www.gofundme.com//f/help-kinsleys-family-during-their-tough-times?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
61,https://www.gofundme.com//f/help-the-ramirez-family-with-mias-medical-bills?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
62,https://www.gofundme.com//f/support-bens-recovery-journey-together?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
63,https://www.gofundme.com//f/support-bob-in-his-battle-against-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
64,https://www.gofundme.com//f/together-for-nate-healing-and-support-needed?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
65,https://www.gofundme.com//f/join-us-in-supporting-lauras-medical-needs?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
66,https://www.gofundme.com//f/help-eric-bulmahn-and-family-through-tough-times?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
67,https://www.gofundme.com//f/help-diane-thrive-after-spinal-injury?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
68,https://www.gofundme.com//f/support-samantha-pinns-family-during-this-heartbreaking-time?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
69,https://www.gofundme.com//f/support-jairos-recovery-and-medical-needs?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
70,https://www.gofundme.com//f/help-mark-navigate-a-bumpy-road?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
71,https://www.gofundme.com//f/help-debbie-mcfadden-fight-stage-4-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
72,https://www.gofundme.com//f/help-marc-and-suzi-overcome-this-challenge?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
73,https://www.gofundme.com//f/support-abbey-and-her-family-in-their-time-of-need?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
74,https://www.gofundme.com//f/donate-to-aid-leslie-and-kyles-healing-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
75,https://www.gofundme.com//f/support-mavericks-fight-against-leukemia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
76,https://www.gofundme.com//f/support-chelseas-fight-against-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
77,https://www.gofundme.com//f/mtdse-strong-as-a-mother?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
78,https://www.gofundme.com//f/wadeholmes?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
79,https://www.gofundme.com//f/join-us-in-supporting-yervants-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
80,https://www.gofundme.com//f/please-support-jami-turmans-battle-against-breast-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
81,https://www.gofundme.com//f/support-andrea-and-aris-road-to-recovery-from-tragedy?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
82,https://www.gofundme.com//f/help-fund-lifesaving-surgery-for-beef?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
83,https://www.gofundme.com//f/please-help-my-husband-fight-against-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
84,https://www.gofundme.com//f/support-morgans-recovery-from-assault?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
85,https://www.gofundme.com//f/help-lupitas-family-during-a-difficult-time?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
86,https://www.gofundme.com//f/support-chris-kochs-journey-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
87,https://www.gofundme.com//f/support-anitas-battle-with-leukemia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
88,https://www.gofundme.com//f/support-joshua-ray-walkers-fight-against-colon-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
89,https://www.gofundme.com//f/help-kingstyn-and-his-family-in-their-fight-against-neurobla?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
90,https://www.gofundme.com//f/help-mateus-get-lifesaving-care?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
91,https://www.gofundme.com//f/prayers-and-support-for-jorge-alvarado?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
92,https://www.gofundme.com//f/pjpu7-rally-for-rick?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
93,https://www.gofundme.com//f/support-my-continued-fight-against-stage-4-breast-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
94,https://www.gofundme.com//f/medical-expenses-of-resilient-palestinian-child-shot-by-idf?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
95,https://www.gofundme.com//f/backing-rylyn-from-viral-star-to-lyme-warrior?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
96,https://www.gofundme.com//f/support-kimberly-currys-road-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
97,https://www.gofundme.com//f/npxcpy-supporting-jessica-through-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
98,https://www.gofundme.com//f/help-laura-and-family-with-medical-cost?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
99,https://www.gofundme.com//f/please-help-support-mark-morgan?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
100,https://www.gofundme.com//f/help-support-nicks-battle-against-brain-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
101,https://www.gofundme.com//f/support-alejandro-and-jamesons-cancer-battle?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
102,https://www.gofundme.com//f/join-us-in-supporting-heathers-medical-needs?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
103,https://www.gofundme.com//f/support-kellis-fight-against-cancer-and-liver-disease?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
104,https://www.gofundme.com//f/support-cole-fialcos-fight-against-als?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
105,https://www.gofundme.com//f/help-the-walcyzk-family-through-pjs-treatment?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
106,https://www.gofundme.com//f/support-susies-fight-against-this-brain-tumor?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
107,https://www.gofundme.com//f/donate-to-yahaira-ramos-als-care-and-support?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
108,https://www.gofundme.com//f/support-little-leonoras-healing-process?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
109,https://www.gofundme.com//f/help-hozan-with-essential-home-care?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
110,https://www.gofundme.com//f/help-nina-fight-als-support-for-treatment-care?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
111,https://www.gofundme.com//f/ygg72s-support-howard-grotts-road-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
112,https://www.gofundme.com//f/support-rekas-cancer-and-pregnancy-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
113,https://www.gofundme.com//f/support-saiges-journey-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
114,https://www.gofundme.com//f/join-us-in-caring-for-corinna-and-family?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
115,https://www.gofundme.com//f/help-chayse-support-melissa-during-healing?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
116,https://www.gofundme.com//f/sergeant-station-commander-salvatore-sam-a-mattina?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
117,https://www.gofundme.com//f/help-bri-racine-battle-cancer-again?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
118,https://www.gofundme.com//f/lets-support-dusty-moniques-final-journey-together?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
119,https://www.gofundme.com//f/support-manny-garzas-road-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
120,https://www.gofundme.com//f/donate-to-ease-chrisss-medical-expenses?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
121,https://www.gofundme.com//f/support-josiah-kirks-fight-for-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
122,https://www.gofundme.com//f/support-xanders-journey-to-health-and-home?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
123,https://www.gofundme.com//f/help-terry-overcome-spinal-cord-injury?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
124,https://www.gofundme.com//f/yx9a3k-support-a-family-in-need-during-tough-times?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
125,https://www.gofundme.com//f/support-for-magoos-best-friend-in-his-loving-memory?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
126,https://www.gofundme.com//f/donate-to-aid-baby-eevees-recovery-and-family-care?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
127,https://www.gofundme.com//f/support-for-steve-coelho-and-his-family?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
128,https://www.gofundme.com//f/support-ginos-battle-against-leukemia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
129,https://www.gofundme.com//f/support-kelly-crowley-lucas?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
130,https://www.gofundme.com//f/elises-fight-a-mother-and-educator-battling-leukemia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
131,https://www.gofundme.com//f/support-marilo-gomez-fights-against-ovarian-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
132,https://www.gofundme.com//f/support-elise-brain-cancer-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
133,https://www.gofundme.com//f/join-us-in-uplifting-holly-through-her-battle?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
134,https://www.gofundme.com//f/join-aubrey-barnetts-battle-against-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
135,https://www.gofundme.com//f/support-emmas-fight-against-hodgkins-lymphoma?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
136,https://www.gofundme.com//f/brody-matteson-tackles-cancer-with-your-support?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
137,https://www.gofundme.com//f/help-haley-recover-from-a-severe-brain-bleed?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
138,https://www.gofundme.com//f/help-javier-medina-and-his-family-battle-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
139,https://www.gofundme.com//f/help-stevie-camiliere-fight-brain-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
140,https://www.gofundme.com//f/support-isaacs-journey-to-a-painfree-life?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
141,https://www.gofundme.com//f/support-our-friend-lisa-barrett-during-this-very-tough-time?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
142,https://www.gofundme.com//f/simdi-destek-zamani?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
143,https://www.gofundme.com//f/support-malikks-journey-to-recovery-and-hope?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
144,https://www.gofundme.com//f/support-jarameys-icu-recovery-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
145,https://www.gofundme.com//f/support-yachins-long-road-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
146,https://www.gofundme.com//f/support-lori-for-ongoing-cancer-treatment?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
147,https://www.gofundme.com//f/emergencia-de-cirugia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
148,https://www.gofundme.com//f/support-care-for-stage-4-colon-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
149,https://www.gofundme.com//f/5vzjz-support-rachels-journey-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
150,https://www.gofundme.com//f/help-support-brian-murphys-battle-with-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
151,https://www.gofundme.com//f/support-micahs-urgent-cancer-surgery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
152,https://www.gofundme.com//f/qzcr8-support-auroras-recovery-after-tragic-accident?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
153,https://www.gofundme.com//f/help-leah-oconnor-fight-burkitt-lymphoma?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
154,https://www.gofundme.com//f/zxxpff-support-marks-journey-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
155,https://www.gofundme.com//f/support-lizzys-path-to-health-and-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
156,https://www.gofundme.com//f/donate-to-marc-bernhards-healing-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
157,https://www.gofundme.com//f/support-jordans-healing-journey-against-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
158,https://www.gofundme.com//f/support-for-mfds-burial-arrangements-and-medical-care?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
159,https://www.gofundme.com//f/support-for-rare-blood-cancer-treatment?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
160,https://www.gofundme.com//f/aubreysarmy-fcancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
